language,term,schedule,studies,degree,ects,ects_semester,codigo,nombre,official_name,english_name,note_comment,url_guia,source_label,program_label,source_url,source_file,syllabus_links_json,availability_label,timing_risk_label,level_label,permission_label,language_label,schedule_label
English,Fall,Unknown,Undergraduate,6-BA,3.0,3.0,FCEE-BA-511,Análisis Estratégico / Strategic Analysis,Análisis Estratégico,Strategic Analysis,,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,undergraduate,standard,english,unknown
English,Fall,Unknown,Undergraduate,6-BA,3.0,3.0,FCEE-BA-512,Mercados Financieros Internacionales / International Financial Markets,Mercados Financieros Internacionales,International Financial Markets,,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,undergraduate,standard,english,unknown
English,Fall,Unknown,Undergraduate,6-BA,3.0,3.0,FCEE-BA-515,Derivados Financieros / Financial Derivatives,Derivados Financieros,Financial Derivatives,,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,undergraduate,standard,english,unknown
English,Fall,Unknown,Undergraduate,2-BA,6.0,6.0,FCEE-BA23-211,Introducción a la Economía / Introduction to Economics,Introducción a la Economía,Introduction to Economics,,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,undergraduate,standard,english,unknown
English,Fall,Unknown,Undergraduate,3-BA,6.0,6.0,FCEE-BA23-311,Diseño y Generación de Valor para el Cliente / Design and Delivery of Value for Customers,Diseño y Generación de Valor para el Cliente,Design and Delivery of Value for Customers,,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,undergraduate,standard,english,unknown
Spanish,Fall,Unknown,Undergraduate,3-BA,6.0,6.0,FCEE-BA23-312,Inferencia y Modelos de Regresión para los Negocios / Inference and Regression Models for Business,Inferencia y Modelos de Regresión para los Negocios,Inference and Regression Models for Business,,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,undergraduate,standard,spanish,unknown
English,Fall,Unknown,Undergraduate,4-BA,6.0,6.0,FCEE-BA23-411,Contabilidad Directiva / Management Accounting,Contabilidad Directiva,Management Accounting,New Code. Formerly FCEE-BA-413,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,undergraduate,standard,english,unknown
English,Fall,Unknown,Undergraduate,4-BA,3.0,3.0,FCEE-BA23-412,Finanzas Corporativas Aplicadas / Applied Corporate Finance,Finanzas Corporativas Aplicadas,Applied Corporate Finance,,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,undergraduate,standard,english,unknown
Spanish,Fall,Unknown,Undergraduate,4-BA,3.0,3.0,FCEE-BA23-413,Machine Learning II: Predicción / Machine Learning II: Forecasting,Machine Learning II: Predicción,Machine Learning II: Forecasting,New Code. Formerly DTC-BA-414,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,undergraduate,standard,spanish,unknown
Spanish,Fall,Unknown,Undergraduate,4-BA,3.0,3.0,FCEE-BA23-414,Matermáticas Financieras / Financial Mathematics,Matermáticas Financieras,Financial Mathematics,,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,undergraduate,standard,spanish,unknown
English,Fall,Unknown,Master,1-MBA,3.0,3.0,IBS-MBA-516,Economía Internacional y el Entorno de los Negocios / International Economy and the Business Environment,Economía Internacional y el Entorno de los Negocios,International Economy and the Business Environment,Permission needed for final-year undergraduates,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,postgraduate,permission_required,english,unknown
English,Fall,Unknown,Master,1-MBA,1.0,1.0,IBS-MBA-517,Tecnología y Sociedad / Technology and Society,Tecnología y Sociedad,Technology and Society,Permission needed for final-year undergraduates,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,postgraduate,permission_required,english,unknown
English,Fall,Unknown,Master,1-MBA,2.0,2.0,IBS-MBA-518,Planificación Estratégica / Strategic Planning,Planificación Estratégica,Strategic Planning,Permission needed for final-year undergraduates,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,postgraduate,permission_required,english,unknown
