codigo,nombre,link
73.22,Fundamentos de DevOps,https://drive.google.com/file/d/1DKZOzMGrFV8DeI2V1GIvA0xqJPYQnn47/view?usp=drivesdk
73.23,Programación Orientada a Datos,
73.30,Desarrollo profesional de software: del código al producto,
73.40,ARQUITECTURA DE MICROSERVICIOS,https://drive.google.com/file/d/1sOBoPQOGL0KtMBVy0WG_OrQUp7XPLyWN/view?usp=drivesdk
73.50,"Infraestructura de Cómputo: Data Center, Cloud y Edge",
73.60,Introducción a la Robótica Empresarial,
73.61,Neurorobótica,
73.62,Introducción a la Programación Paralela,
73.63,Redes Equivariantes,
73.64,Temas Avanzados en Deep Learning,
73.65,Procesamiento del Lenguaje Natural,
73.66,Procesamiento de Imágenes Satelitales,
73.67,Análisis de series de tiempo con Inteligencia Artificial,
73.80,SEGURIDAD OFENSIVA,
73.81,Ciberseguridad Ofensiva y Defensiva,
73.82,Bases de Datos Espaciales y de Movilidad,https://drive.google.com/file/d/1G2wuht2EX7J01rUj_Dnimb5mZPK2f2dX/view?usp=drivesdk
73.84,Ciencia de Datos Aplicada,https://drive.google.com/file/d/15afDHhNvI03tIapUYopuNZaMjWO4fVgV/view?usp=drivesdk
73.89,Introducción a Blockchain y Criptomonedas,https://drive.google.com/file/d/1Tk9lAA2mlLqZkj3eRa3XLucD7hcYYxmL/view?usp=drivesdk
73.98,Desarrollo Integral de Videojuegos,
81.13,Futuros Posibles,https://drive.google.com/file/d/1ScXDuQcYIrzulDwu_a2Mk7FERR91qeS9/view?usp=drivesdk
81.14,Product Management,https://drive.google.com/file/d/1So4hTg8TtAWCO4vK09cgrncxY0Cd_aNE/view?usp=drivesdk
81.16,Negociación,https://drive.google.com/file/d/1yIsclYd71BNW3SbvL1kfjCDSV_dd-9UU/view?usp=drivesdk
81.57,Arquitectura de soluciones digitales,https://drive.google.com/file/d/1-_uazjDu_m0jxN84_tOENsqtDPLbtHdS/view?usp=drivesdk
81.74,Introducción a la realidad aumentada,https://drive.google.com/file/d/1rZqDHY1lheH0HhoHpFzQaRo7hzzRZouu/view?usp=drivesdk
81.94,Experiencia Inmersiva de Innovación Tecnológica,
